,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor,paper_key,place_holder,month_year
94,2-s2.0-0038810305,10.1046/j.1471-4159.2003.01787.x,,12787061,Interleukin-18 induces expression and release of cytokines from murine glial cells: Interactions with interleukin-1β,ar,Article,Wheeler R.D.,60031907;60030873;60030616;60025272;60003771,Le Centre de Recherche Douglas;Hyogo College of Medicine;Institut-Hôpital Neurologique de Montréal;The University of Tokyo;The University of Manchester,Montreal;Nishinomiya;Montreal;Tokyo;Manchester,Canada;Japan;Canada;Japan;United Kingdom,7,"['Wheeler, Rachel D.', 'Brough, David', 'Le Feuvre, Rosalind A.', 'Takeda, Kiyoshi', 'Iwakura, Yoichiro', 'Luheshi, Giamal N.', 'Rothwell, Nancy J.']","['7202147966', '7006799289', '35510169800', '7404335442', '7102119714', '7004713345', '36042800200']",60003771-60030616;60003771;60003771;60030873;60025272;60031907;60003771,2003-06-01,June 2003,Journal of Neurochemistry,00223042,17620,,Journal,85,6,,1412-1420,"Interleukin (IL)-18, a member of the IL-1 cytokine family, is an important mediator of peripheral inflammation and host defence responses. IL-1 is a key proinflammatory cytokine in the brain, but the role of IL-18 in the CNS is not yet clear. The objective of this study was to investigate the actions of IL-18 on mouse glial cells. IL-18 induced intracellular expression of IL-1α and proIL-1β, and release of IL-6 from mixed glia. Treatment of lipopolysaccharide-primed microglia with adenosine triphosphate (ATP), an endogenous secondary stimulus, induced IL-1β and IL-18 release. Although deletion of the IL-18 gene did not affect IL-1β expression or release in this experimental paradigm, IL-1β knockout microglia released significantly less IL-18 compared to wild-type microglia. In addition, ATP induced release of mature IL-1β from IL-18-primed microglia. These data suggest that IL-18 may contribute to inflammatory responses in the brain, and demonstrate that, in spite of several common features, IL-18 and IL-1β differ in their regulation and actions.",ATP | Caspase-1 | Glia | IL-1β | IL-18,41,0,,undefined,,papers by authors,0.5,2003-06-01
95,2-s2.0-0037443542,10.4049/jimmunol.170.6.3029,,12626557,Ca<sup>2+</sup> stores and Ca<sup>2+</sup> entry differentially contribute to the release of IL-1β and IL-1α from murine macrophages,ar,Article,Brough D.,60003771,The University of Manchester,Manchester,United Kingdom,7,"['Brough, David', 'Le Feuvre, Rosalind A.', 'Wheeler, Rachel D.', 'Solovyova, Natasha', 'Hilfiker, Sabine', 'Rothwell, Nancy J.', 'Verkhratsky, Alex']","['7006799289', '35510169800', '7202147966', '6602750365', '6603207635', '36042800200', '7006296472']",60003771;60003771;60003771;60003771;60003771;60003771;60003771,2003-03-15,15 March 2003,Journal of Immunology,00221767,21275,,Journal,170,6,,3029-3036,"Interleukin-1 is a primary mediator of immune responses to injury and infection, but the mechanism of its cellular release is unknown. IL-1 exists as two agonist forms (IL-1α and IL-1β) present in the cytosol of activated monocytes/macrophages. IL-1β is synthesized as an inactive precursor that lacks a signal sequence, and its trafficking does not use the classical endoplasmic reticulum-Golgi route of secretion. Using primary cultured murine peritoneal macrophages, we demonstrate that P2X7 receptor activation causes release of IL-1β and IL-1α via a common pathway, dependent upon the release of Ca2+ from endoplasmic reticulum stores and caspase-1 activity. Increases in intracellular Ca2+ alone do not promote IL-1 secretion because a concomitant efflux of K+ through the plasmalemma is required. In addition, we demonstrate the existence of an alternative pathway for the secretion of IL-1α, independent of P2X7 receptor activation, but dependent upon Ca2+ influx. The identification of these mechanisms provides insight into the mechanism of IL-1 secretion, and may lead to the identification of targets for the therapeutic modulation of IL-1 action in inflammation.",,113,1,,undefined,,papers by authors,0.0,2003-03-01
96,2-s2.0-0037332407,10.1097/01.WCB.0000048519.34839.97,,12621313,Role of P2X<inf>7</inf> receptors in ischemic and excitotoxic brain injury in vivo,ar,Article,Le Feuvre R.A.,60032215;60003771,Université de Caen Normandie;The University of Manchester,Caen;Manchester,France;United Kingdom,4,"['Le Feuvre, Rosalind A.', 'Brough, David', 'Touzani, Omar', 'Rothwell, Nancy J.']","['35510169800', '7006799289', '6602096426', '36042800200']",60003771;60003771;60003771-60032215;60003771,2003-03-01,1 March 2003,Journal of Cerebral Blood Flow and Metabolism,0271678X,16667,,Journal,23,3,,381-384,"Purinergic P2X7 receptors may affect neuronal cell death through their ability to regulate the processing and release of interleukin-1β (IL-1β), a key mediator in neurodegeneration. The authors tested the hypothesis that ATP, acting at P2X7 receptors, contributes to experimentally induced neuronal death in rodents in vivo. Deletion of P2X7 receptors (P2X7 knockout mice) did not affect cell death induced by temporary cerebral ischemia, which was reduced by treatment with IL-1 receptor antagonist (IL-IRA). Treatment of mice with P2X antagonists did not affect ischemic or excitotoxic cell death, suggesting that P2X7 receptors are not primary mediators of experimentally induced neuronal death.",ATP | Cerebral ischemia | Excitotoxicity | Interleukin-I | Neuronal death | P2X 7,107,1,,undefined,,papers by authors,0.0,2003-03-01
97,2-s2.0-0037025282,10.1016/S0014-2999(02)01848-4,S0014299902018484,,Extracellular ATP and P2X7 receptors in neurodegeneration,ar,Article,Le Feuvre R.,60003771,The University of Manchester,Manchester,United Kingdom,3,"['Le Feuvre, Rosalind', 'Brough, David', 'Rothwell, Nancy']","['35510169800', '7006799289', '36042800200']",60003771;60003771;60003771,2002-07-05,5 July 2002,European Journal of Pharmacology,00142999,21333,,Journal,447,2-3,,261-269,"Neuronal injury and cell death in the central nervous system (CNS) are underlying features of neurodegenerative disorders. However, our understanding of the fundamental mechanisms involved is still limited. Inflammatory processes mediated by cytokines, and interleukin-1 (IL-1) in particular, play a significant role in neuronal death following pathological insults. Despite this growing area of research, very little is known about the factors regulating the expression, cleavage and release of interleukin-1 in the brain. Recent studies on immune cells demonstrate that extracellular ATP can act as a potent stimulus for the maturation and release of interleukin-1β, via activation of P2X7 receptors. Stimulation of P2X7 receptors with ATP has dramatic cytotoxic properties and a wider role in neurodegenerative processes is possible. This review discusses the potential involvement of extracellular ATP and P2X7 receptors as regulators of interleukin-1-mediated neuropathologies and thus as a mediator of cell death following pathological insults. © 2002 Elsevier Science B.V. All rights reserved.",ATP | Interleukin-1 | Neurodegeneration | P2X7,137,0,,undefined,,papers by authors,0.0,2002-07-01
98,2-s2.0-0036479134,10.1074/jbc.M104388200,,11706016,"Priming of macrophages with lipopolysaccharide potentiates P2X7-mediated cell death via a caspase-1-dependent mechanism, independently of cytokine production",ar,Article,Le Feuvre R.A.,60025272;60013829;60003771,The University of Tokyo;Osaka University Faculty of Medicine;The University of Manchester,Tokyo;Suita;Manchester,Japan;Japan;United Kingdom,5,"['Le Feuvre, Rosalind A.', 'Brough, David', 'Iwakura, Yoichiro', 'Takeda, Kiyoshi', 'Rothwell, Nancy J.']","['35510169800', '7006799289', '7102119714', '7404335442', '36042800200']",60003771;60003771;60013829;60013829;60025272,2002-02-01,1 February 2002,Journal of Biological Chemistry,00219258,17592,,Journal,277,5,,3210-3218,"ATP stimulation of cell surface P2X7 receptors results in cytolysis and cell death of macrophages. Activation of this receptor in bacterial lipopolysaccharide (LPS)-activated macrophages or monocytes also stimulates processing and release of the cytokine interleukin-1β (IL-1β) through activation of caspase-1. The cytokine interleukin 18 (IL-18) is also cleaved by caspase-1 and shares pro-inflammatory characteristics with IL-1β. The objective of the present study was to test the hypothesis that IL-1β, IL-18, and/or caspase-1 activation contribute directly to macrophage cell death induced by LPS and ATP. Macrophages were cultured from normal mice or those in which genes for the P2X7 receptor, IL-1β, IL-1α, IL-18, or caspase-1 had been deleted. Our data confirm the importance of the P2X7 receptor in ATP-stimulated cell death and IL-1β release from LPS-primed macrophages. We demonstrate that prolonged stimulation with ATP leads to cell death, which is partly dependent on LPS priming and caspase-1, but independent of cytokine processing and release. We also provide evidence that LPS priming of macrophages makes them highly susceptible to the toxic effects of brief exposure to ATP, which leads to rapid cell death by a mechanism that is dependent on caspase-1 but, again, independent of cytokine processing and release.",,142,1,,undefined,,papers by authors,0.0,2002-02-01
99,2-s2.0-0036200917,10.1006/mcne.2001.1054,S1044743101910541,11860279,Purinergic (P2X7) receptor activation of microglia induces cell death via an interleukin-1-independent mechanism,ar,Article,Brough D.,60025272;60003771,The University of Tokyo;The University of Manchester,Tokyo;Manchester,Japan;United Kingdom,4,"['Brough, David', 'Le Feuvre, Rosalind A.', 'Iwakura, Yoichiro', 'Rothwell, Nancy J.']","['7006799289', '35510169800', '7102119714', '36042800200']",60003771;60003771;60025272;60003771,2002-01-01,2002,Molecular and Cellular Neuroscience,10447431,17379,,Journal,19,2,,272-280,"Activation of purinergic P2X7 receptors, principally by extracellular ATP, promotes the processing and release of the cytokine interleukin-1β (IL-1β) and induces cell death in activated microglia and macrophages. The objective of this study was to determine if IL-1β release contributes directly to this cell death in microglia. Exposure of microglia to bacterial lipopolysaccharide (LPS) and ATP induced release of IL-1β and IL-1α, as well as cell death. Neither cell death nor IL-1 release was observed in microglia lacking the P2X7 receptor. Microglia from mice lacking the IL-1β gene demonstrated a profile of death identical to that of wild-type microglia in response to LPS and ATP. Thus, IL-1β is not required for P2X7 receptorstimulated microglial death.",,116,0,MRC,undefined,Medical Research Council,papers by authors,0.0,2002-01-01
0,2-s2.0-85102422246,10.1016/j.bbrep.2021.100943,S2405580821000376,,Inhibition of aggregation of amyloid-β through covalent modification with benzylpenicillin; potential relevance to Alzheimer's disease,ar,Article,Alsalahat I.,60172345;60064180;60043655,"Faculty of Biology, Medicine and Health;The University of Jordan;Applied Science Private University",Manchester;Amman;Amman,United Kingdom;Jordan;Jordan,7,"['Alsalahat, Izzeddin', 'Al-Majdoub, Zubida M.', 'Taha, Mutasem O.', 'Barber, Jill', 'Aojula, Harmesh', 'Hodson, Nigel', 'Freeman, Sally']","['36676946100', '55651723600', '7102056385', '7402350441', '56888647800', '7004514222', '16143095900']",60172345-60043655;60172345;60064180;60172345;60172345;60172345;60172345,2021-07-01,July 2021,Biochemistry and Biophysics Reports,,21100398900,24055808,Journal,26,,100943,,"The pathogenesis of Alzheimer's disease (AD) is correlated with the misfolding and aggregation of amyloid-beta protein (Aβ). Here we report that the antibiotic benzylpenicillin (BP) can specifically bind to Aβ, modulate the process of aggregation and supress its cytotoxic effect, initially via a reversible binding interaction, followed by covalent bonding between specific functional groups (nucleophiles) within the Aβ peptide and the beta-lactam ring. Mass spectrometry and computational docking supported covalent modification of Aβ by BP. BP was found to inhibit aggregation of Aβ as revealed by the Thioflavin T (ThT) fluorescence assay and atomic force microscopy (AFM). In addition, BP treatment was found to have a cytoprotective activity against Aβ-induced cell cytotoxicity as shown by the 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) cell toxicity assay. The specific interaction of BP with Aβ suggests the possibility of structure-based drug design, leading to the identification of new drug candidates against AD. Moreover, good pharmacokinetics of beta-lactam antibiotics and safety on long-time use make them valuable candidates for drug repurposing towards neurological disorders such as AD.",AFM | Alzheimer's disease | Amyloid-beta | Atomic force microscopy | Benzylpenicillin | Mass spectrometry | Thioflavin T,0,1,,undefined,,papers by authors,0.0,2021-07-01
4,2-s2.0-85085876850,10.1016/j.neurobiolaging.2020.04.012,S0197458020301329,32512325,Resveratrol-mediated cleavage of amyloid β<inf>1–42</inf> peptide: potential relevance to Alzheimer's disease,ar,Article,Al-Edresi S.,60172345;60071160,"Faculty of Biology, Medicine and Health;University of Kufa",Manchester;Kufa,United Kingdom;Iraq,5,"['Al-Edresi, Sarmad', 'Alsalahat, Izzeddin', 'Freeman, Sally', 'Aojula, Harmesh', 'Penny, Jeffrey']","['26532366900', '36676946100', '16143095900', '56888647800', '55400853000']",60172345-60071160;60172345;60172345;60172345;60172345,2020-10-01,October 2020,Neurobiology of Aging,01974580,23985,15581497,Journal,94,,,24-33,"Aggregation of amyloid β1–42 (Aβ1–42) peptide within the brain is considered one of the main causes of the neuropathological changes associated with Alzheimer's disease. Resveratrol is a well-known antioxidant but has also been reported to bind to Aβ1–42 peptide, thereby reducing aggregation. However, little is known of the precise mechanism by which resveratrol reduces Aβ1–42 peptide aggregation. Using the thioflavin-T assay, the ability of resveratrol to reduce the extent of Aβ1–42 peptide aggregation was investigated. The findings of the present study demonstrate that interaction of resveratrol with Aβ1–42 peptide resulted in the cleavage of Aβ1–42 peptide into smaller fragments, as detected by matrix assisted laser desorption ionization-time of flight mass spectrometry. Atomic force microscopy analyses revealed Aβ1–42 peptide, under control conditions, aggregated into oligomers, protofibrils, and fibrils, whereas there was a distinct lack of these structures when Aβ1–42 peptide was incubated with resveratrol. Following 10 days incubation of Aβ1–42 peptide with resveratrol, particles with a mean z-height of 1.940 nm (range 0.675–3.275 nm) were observed, which are characteristic of shorter peptide species. In cell-based studies, resveratrol significantly reduced the cytotoxicity of Aβ1–42 peptide toward SH-SY5Y human neuroblastoma cells, suggesting a protective effect of the polyphenol. We therefore propose a novel mechanism by which resveratrol disrupts Aβ1–42 aggregation by mediating fragmentation of Aβ1–42 into smaller peptides, which have no propensity to aggregate further.",Alzheimer's disease | Aβ  peptide 1–42 | Cleavage | MALDI-TOF | Resveratrol,11,0,MHE&amp;SR,undefined,Ministry of Higher Education and Scientific Research,papers by authors,1.5,2020-10-01
5,2-s2.0-85084870668,10.1167/IOVS.61.5.28,,32421148,Small molecules restore bestrophin 1 expression and function of both dominant and recessive bestrophinopathies in patient-derived retinal pigment epithelium,ar,Article,Liu J.,60172345;60120605;60027565;60005558;60003771,"Faculty of Biology, Medicine and Health;Manchester University NHS Foundation Trust;Columbia University Irving Medical Center;Mayo Clinic;The University of Manchester",Manchester;Manchester;New York;Rochester;Manchester,United Kingdom;United Kingdom;United States;United States;United Kingdom,11,"['Liu, Jingshu', 'Taylor, Rachel L.', 'Baines, Richard A.', 'Swanton, Lisa', 'Freeman, Sally', 'Corneo, Barbara', 'Patel, Achchhe', 'Marmorstein, Alan', 'Knudsen, Travis', 'Black, Graeme C.', 'Manson, Forbes']","['57216834182', '57193138490', '7004597786', '57209812508', '16143095900', '6505814301', '57193086822', '7003493668', '57199725434', '7102294178', '6603743798']",60003771;60003771;60172345;60172345;60172345;60027565;60027565;60005558;60005558;60003771-60120605;60003771,2020-05-01,May 2020,Investigative Ophthalmology and Visual Science,01460404,13945,15525783,Journal,61,5,28,,"PURPOSE. Bestrophinopathies are a group of untreatable inherited retinal dystrophies caused by mutations in the retinal pigment epithelium (RPE) Cl− channel bestrophin 1. We tested whether sodium phenylbutyrate (4PBA) could rescue the function of mutant bestrophin 1 associated with autosomal dominant and recessive disease. We then sought analogues of 4PBA with increased potency and determined the mode of action for 4PBA and a lead compound 2-naphthoxyacetic acid (2-NOAA). Lastly, we tested if 4PBA and 2-NOAA could functionally rescue bestrophin 1 function in RPE generated from induced pluripotent stem cells (iPSC-RPEs) derived from patients with a dominant or recessive bestrophinopathy. METHODS. Global and plasma membrane expression was determined by Western blot and immunofluorescent microscopy, respectively. The effect of 4PBA and 2-NOAA on transcription was measured by quantitative RT-PCR and the rate of protein turnover by cycloheximide chase and Western blot. Channel function was measured by whole-cell patch clamp. RESULTS. 4PBA and 2-NOAA can rescue the global and membrane expression of mutant bestrophin 1 associated with autosomal dominant disease (Best vitelliform macular dystrophy [BVMD]) and autosome recessive bestrophinopathy (ARB), and these small molecules have different modes of action. Both 4PBA and 2-NOAA significantly increased the channel function of mutant BVMD and ARB bestrophin 1 in HEK293T and iPSC-RPE cells derived from patients with BVMD and ARB. For 4PBA, the increased mutant channel function in BVMD and ARB iPSC-RPE was equal to that of wild-type iPSC-RPE bestrophin 1. CONCLUSIONS. The restoration of bestrophin 1 function in patient-derived RPE confirms the US Food and Drug Administration–approved drug 4PBA as a promising therapeutic treatment for bestrophinopathies.",Bestrophin 1 | Bestrophinopathies | Functional rescue | Small molecule | Sodium phenylbutyrate (4PBA),3,1,BRC,MR/R024952/1,Manchester Biomedical Research Centre,papers by authors,1.0,2020-05-01
6,2-s2.0-85071881603,10.1016/j.ejmech.2019.111649,S0223523419307895,31514018,Discovery of potent 4-aminoquinoline hydrazone inhibitors of NRH:quinoneoxidoreductase-2 (NQO2),ar,Article,Hussein B.,60172345;60024724,"Faculty of Biology, Medicine and Health;University of Strathclyde",Manchester;Glasgow,United Kingdom;United Kingdom,8,"['Hussein, Buthaina', 'Ikhmais, Balqis', 'Kadirvel, Manikandan', 'Magwaza, Rachael N.', 'Halbert, Gavin', 'Bryce, Richard A.', 'Stratford, Ian J.', 'Freeman, Sally']","['57188931335', '57210919736', '15056138700', '57201270113', '7004329198', '7006481959', '7004547474', '16143095900']",60172345;60172345;60172345;60172345;60024724;60172345;60172345;60172345,2019-11-15,15 November 2019,European Journal of Medicinal Chemistry,02235234,17464,17683254,Journal,182,,111649,,"(NRH):quinone oxidoreductase 2 (NQO2) is associated with various processes involved in cancer initiation and progression probably via the production of ROS during quinone metabolism. Thus, there is a need to develop inhibitors of NQO2 that are active in vitro and in vivo. As part of a strategy to achieve this we have used the 4-aminoquinoline backbone as a starting point and synthesized 21 novel analogues. The syntheses utilised p-anisidine with Meldrum's acid and trimethyl orthoacetate or trimethyl orthobenzoate to give the 4-hydrazin-quinoline scaffold, which was derivatised with aldehydes or acid chlorides to give hydrazone or hydrazide analogues, respectively. The hydrazones were the most potent inhibitors of NQO2 in cell free systems, some with low nano-molar IC50 values. Structure-activity analysis highlighted the importance of a small substituent at the 2-position of the 4-aminoquinoline ring, to reduce steric hindrance and improve engagement of the scaffold within the NQO2 active site. Cytotoxicity and NQO2–inhibitory activity in vitro was evaluated using ovarian cancer SKOV-3 and TOV-112 cells (expressing high and low levels of NQO2, respectively). Generally, the hydrazones were more toxic than hydrazide analogues and further, toxicity is unrelated to cellular NQO2 activity. Pharmacological inhibition of NQO2 in cells was measured using the toxicity of CB1954 as a surrogate end-point. Both the hydrazone and hydrazide derivatives are functionally active as inhibitors of NQO2 in the cells, but at different inhibitory potency levels. In particular, 4-((2-(6-methoxy-2-methylquinolin-4-yl)hydrazono)methyl)phenol has the greatest potency of any compound yet evaluated (53 nM), which is 50-fold lower than its toxicity IC50. This compound and some of its analogues could serve as useful pharmacological probes to determine the functional role of NQO2 in cancer development and response to therapy.",4-Aminoquinoline | Anticancer | CB1954 | Hydrazine | Hydrazine | NQO2 inhibitors | Ovarian cancer | SKOV-3 cells | TOV-112D cells,3,0,NRF,undefined,Neurosciences Research Foundation,papers by authors,0.0,2019-11-01
9,2-s2.0-85048788183,10.1007/s10967-018-5948-4,,,Radiosynthesis and reactivity of N-[<sup>11</sup>C]methyl carbamoylimidazole,ar,Article,Kadirvel M.,60172345;60138276;60031101;60003771,"Faculty of Biology, Medicine and Health;Université Clermont Auvergne;University of Cambridge;The University of Manchester",Manchester;Clermont-Ferrand;Cambridge;Manchester,United Kingdom;France;United Kingdom;United Kingdom,4,"['Kadirvel, Manikandan', 'Cardoso, Déborah', 'Freeman, Sally', 'Brown, Gavin']","['15056138700', '57202574361', '16143095900', '7406466024']",60003771-60172345;60138276;60172345;60031101,2018-08-01,1 August 2018,Journal of Radioanalytical and Nuclear Chemistry,02365731,24060,15882780,Journal,317,2,,977-984,N-Methyl carbamoylimidazole is a safe and practical alternative to methyl isocyanate for carbamoylation reactions. We have developed a new chemical route for its synthesis from methyl iodide and applied this to the synthesis of N-[11C]methyl carbamoylimidazole as a new [11C]synthon to radiolabel biomolecules for PET imaging research. N-[11C]methyl carbamoylimidazole was prepared from [11C]methyl iodide in 70–74% radiochemical yield (decay corrected) and can be used in situ for further reaction without purification. The reactivity of N-[11C]methyl carbamoylimidazole was demonstrated in a series of [11C]carbamoylation reactions.,11 C | Carbamoylation | Methyl isocyanate | PET | Radiochemistry,1,1,,undefined,,papers by authors,2.0,2018-08-01
14,2-s2.0-85032669004,10.3390/molecules22101661,,28976921,In vitro evaluation of third generation PAMAM dendrimer conjugates,ar,Article,Najlah M.,60172345;60033359;60017098;60000913,"Faculty of Biology, Medicine and Health;Kingston University;De Montfort University;Anglia Ruskin University",Manchester;Kingston Upon Thames;Leicester;Cambridge,United Kingdom;United Kingdom;United Kingdom;United Kingdom,5,"['Najlah, Mohammad', 'Freeman, Sally', 'Khoder, Mouhamad', 'Attwood, David', ""D'Emanuele, Antony""]","['11439157000', '16143095900', '36946045200', '55914301500', '7003886150']",60000913;60172345;60033359;60172345;60017098,2017-10-01,October 2017,Molecules,,26370,14203049,Journal,22,10,22101661,,"The present study compares the use of high generation G3 and low generation G0 Polyamidoamine (PAMAM) dendrimers as drug carriers of naproxen (NAP), a poorly water soluble drug. Naproxen was conjugated to G3 in different ratios and to G0 in a 1:1 ratio via a diethylene glycol linker. A lauroyl chain (L), a lipophilic permeability enhancer, was attached to G3 and G0 prodrugs. The G3 and G0 conjugates were more hydrophilic than naproxen as evaluated by the measurement of partitioning between 1-octanol and a phosphate buffer at pH 7.4 and pH 1.2. The unmodified surface PAMAM-NAP conjugates showed significant solubility enhancements of NAP at pH 1.2; however, with the number of NAP conjugated to G3, this was limited to 10 molecules. The lactate dehydrogenase (LDH) assay indicated that the G3 dendrimer conjugates had a concentration dependent toxicity towards Caco-2 cells. Attaching naproxen to the surface of the dendrimer increased the IC50 of the resulting prodrugs towards Caco-2 cells. The lauroyl G3 conjugates showed the highest toxicity amongst the PAMAM dendrimer conjugates investigated and were significantly more toxic than the lauroyl-G0-naproxen conjugates. The permeability of naproxen across monolayers of Caco-2 cells was significantly increased by its conjugation to either G3 or G0 PAMAM dendrimers. Lauroyl-G0 conjugates displayed considerably lower cytotoxicity than G3 conjugates and may be preferable for use as a drug carrier for low soluble drugs such as naproxen.",Caco-2 cells | Dendrimer prodrugs | Oral drug delivery | PAMAM dendrimers | Transepithelial transport,10,1,,undefined,,papers by authors,0.0,2017-10-01
15,2-s2.0-85020235171,10.1016/j.ejmech.2017.05.053,S0223523417304221,28595067,Pentapeptides for the treatment of small cell lung cancer: Optimisation by N<sup>ind</sup>-alkyl modification of the tryptophan side chain,ar,Article,Haitham Abusara O.,60172345,"Faculty of Biology, Medicine and Health",Manchester,United Kingdom,3,"['Haitham Abusara, Osama', 'Freeman, Sally', 'Aojula, Harmesh Singh']","['57194445257', '16143095900', '56888647800']",60172345;60172345;60172345,2017-01-01,2017,European Journal of Medicinal Chemistry,02235234,17464,17683254,Journal,137,,,221-232,"The pentapeptide, tert-Prenyl4th-NH2 (DMePhe-DTrp-Phe-DTrp(N-tert-prenyl)-Leu-NH2), has recently been reported by our group to exhibit properties of substance P (SP) antagonist G against small cell lung cancer (SCLC). In this study, we undertook a systematic structure activity investigation to optimise this lead compound to improve its in vitro anti-tumour activity and biocompatibility. A series of D-tryptophan (D-Trp) derivatives were synthesised, with a range of aliphatic N-alkyl chains (methyl to pentyl) on the indole nitrogen (Nind). These were incorporated into the pentapeptide sequence by substitution of the Nind-tert-prenylated D-Trp 4th residue with the Nind-alkylated D-Trp derivatives. These pentapeptides were significantly more potent than tert-Prenyl4th-NH2, with the Nind-butyl modification generating the most cytotoxic peptides. Compared to tert-Prenyl4th-NH2, a single butyl modification on the 4th D-Trp residue (Butyl4th-NH2) showed a ∼3 fold enhancement in cytotoxicity in either the chemo-naive H69 or the DMS79 (originating from a patient treated with chemotherapeutics and radiation therapy) SCLC cell lines. In addition, the di-butylated sequence on the 2nd and 4th D-Trp residues (Butyl2nd,4th-NH2) gave ∼4.5 times higher cytotoxicity against the H69 cell line and a ∼2 fold increase against the DMS79 cell line, compared to tert-Prenyl4th-NH2. The favoured position for butyl modification was the 4th D-Trp residue, as the Butyl2nd-NH2 peptide gave lower cytotoxicity on both cell lines. Butylated peptide sequences, when exposed to neat mouse plasma for 24 h at 37 °C, were found to resist degradation with >80% remaining intact compared to ∼58% for tert-Prenyl4th-NH2. The degradation pathway in plasma occurs via de-amidation of the C-terminus, confirmed by mass spectrometry and RP-HPLC analysis. The butyl modification also conferred resistance to metabolism when tested using S9 liver fraction from mouse. The optimum analogue responsive against the DMS79 cell line was the Butyl4th-NH2 pentapeptide, which revealed a concentration dependent increase in apoptosis: the level of late apoptotic cells rose from ∼36% at 2 μM to ∼96% at 6 μM, as determined by flow cytometry, compared to the unmodified peptide that showed no such effect. Concluding, the butyl substitutions offered the best perspective for high cytotoxicity, induction of apoptosis and metabolic compatibility thereby comprising an improved broad spectrum SP antagonist candidate for treatment of SCLC.",Cytotoxicity | Lung cancer | N-alkylated indoles | Pentapeptides,2,1,,MC_PC_13070,,papers by authors,1.0,2017-01-01
16,2-s2.0-85016090495,10.1039/c6md00691d,,,N-tert-Prenylation of the indole ring improves the cytotoxicity of a short antagonist G analogue against small cell lung cancer,ar,Article,Offerman S.C.,60172349;60172345;60111801,"CRUK and EPSRC Cancer Imaging Centre;Faculty of Biology, Medicine and Health;Health Innovation Manchester",Manchester;Manchester;Manchester,United Kingdom;United Kingdom;United Kingdom,10,"['Offerman, Shaun C.', 'Kadirvel, Manikandan', 'Abusara, Osama H.', 'Bryant, Jennifer L.', 'Telfer, Brian A.', 'Brown, Gavin', 'Freeman, Sally', 'White, Anne', 'Williams, Kaye J.', 'Aojula, Harmesh S.']","['15749450200', '15056138700', '57225264135', '36015020900', '7003464137', '7406466024', '16143095900', '7404186415', '35412265700', '56888647800']",60172345;60172349;60172345;60172345;60172345;60172349;60172345;60111801;60172345-60172349;60172345,2017-01-01,2017,MedChemComm,20402503,19700194010,20402511,Journal,8,3,,551-558,"Natural prenylated indoles have been proposed as potential anticancer agents. To exploit this discovery for developing new peptide therapeutics, we report the first studies whereby incorporation of prenylated indoles into primary sequences has been achieved. We developed a route to synthesise Nα-Fmoc-protected tryptophan derivatives in which the prenyl group is linked to the N-indole core, using Pd(ii)-mediated C-H functionalisation of 2-methyl-2-butene. Based on the Substance P antagonist G (SPG), a well-known Small Cell Lung Cancer (SCLC) anticancer agent, we designed a new penta-peptide sequence to include a prenyl moiety on one of the tryptophan residues. The N-tert-prenylated tryptophan analogue was assembled into the pentameric peptide using standard solid phase peptide synthesis or liquid phase synthesis by fragment coupling. In vitro screening showed that the N-tert-prenylation of the indole ring on the tryptophan residue located near the C-terminal of the penta-peptide enhanced the cytotoxicity against H69 (IC50 = 2.84 ± 0.14 μM) and DMS79 (IC50 = 4.37 ± 0.44 μM) SCLC cell lines when compared with the unmodified penta-peptide (H69, IC50 = 30.74 ± 0.30 μM and DMS79, IC50 = 23.00 ± 2.07 μM) or the parent SPG sequence (IC50 > 30 μM, both cell lines). SCLC almost invariably relapses with therapy-resistant disease. The DMS79 cell line was established from a patient following treatment with a number of chemotherapeutics (cytoxan, vincristine and methotrexate) and radiation therapy. Treating DMS79 tumour-bearing nude mice provided a human xenograft model of drug resistance to test the efficacy of the prenylated peptide. A low dose (1.5 mg kg−1) of the prenylated peptide was found to reduce tumour growth by ∼30% (P < 0.05) at day 7, relative to the control group receiving vehicle only. We conclude that the availability of the Fmoc-Trp(N-tert-prenyl)-OH amino acid facilitates the synthesis of prenylated-tryptophan-containing peptides to explore their therapeutic potential.",,8,1,MRC,MC_PC_13070,Medical Research Council,papers by authors,1.5,2017-01-01
